solver_group,CaseID,Implementation,N,Re,Scheme,PressureSolver,Runtime_s,Iterations,AvgPoissonRelResidual,Quality,source_file
cpp_serial,11,serial_cpp,32,1000,central,RBGS,62.110677667,8500,8.78148556892e-05,needs_improvement,comparison/results/split/cpp_serial_case_011.csv
cpp_serial,12,serial_cpp,32,1000,central,RBSOR,20.993200538,8500,4.80505600103e-05,needs_improvement,comparison/results/split/cpp_serial_case_012.csv
cpp_serial,13,serial_cpp,64,100,upwind,RBGS,997.374244044,4000,9.80531322402e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_013.csv
cpp_serial,14,serial_cpp,64,100,upwind,RBSOR,158.648358773,4000,8.02159832272e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_014.csv
cpp_serial,15,serial_cpp,64,100,central,RBGS,1216.77847541,5500,9.78963559449e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_015.csv
cpp_serial,16,serial_cpp,64,100,central,RBSOR,195.852146568,5500,7.87017974524e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_016.csv
cpp_serial,17,serial_cpp,64,400,upwind,RBGS,1155.18698679,4000,9.82123100574e-05,needs_improvement,comparison/results/split/cpp_serial_case_017.csv
cpp_serial,18,serial_cpp,64,400,upwind,RBSOR,159.174805241,4000,7.94659329116e-05,needs_improvement,comparison/results/split/cpp_serial_case_018.csv
cpp_serial,19,serial_cpp,64,400,central,RBGS,1513.27132118,5500,9.83589004006e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_019.csv
cpp_serial,20,serial_cpp,64,400,central,RBSOR,206.318906396,5500,7.80452949486e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_020.csv
cpp_serial,21,serial_cpp,64,1000,upwind,RBGS,1382.56496193,7000,9.77776596704e-05,needs_improvement,comparison/results/split/cpp_serial_case_021.csv
cpp_serial,22,serial_cpp,64,1000,upwind,RBSOR,211.131019055,7000,7.77800383046e-05,needs_improvement,comparison/results/split/cpp_serial_case_022.csv
cpp_serial,23,serial_cpp,64,1000,central,RBGS,1741.1492314,8500,9.80088314945e-05,needs_improvement,comparison/results/split/cpp_serial_case_023.csv
cpp_serial,24,serial_cpp,64,1000,central,RBSOR,266.222190229,8500,7.97024667852e-05,needs_improvement,comparison/results/split/cpp_serial_case_024.csv
cpp_serial,25,serial_cpp,128,100,upwind,RBGS,12744.1654425,7000,0.000140371533297,validated_but_not_converged,comparison/results/split/cpp_serial_case_025.csv
cpp_serial,26,serial_cpp,128,100,upwind,RBSOR,2806.99341117,7000,9.31921712343e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_026.csv
cpp_serial,27,serial_cpp,128,100,central,RBGS,14561.5675955,8500,0.000149392174025,validated_but_not_converged,comparison/results/split/cpp_serial_case_027.csv
cpp_serial,28,serial_cpp,128,100,central,RBSOR,3295.78606315,8500,9.35820927654e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_028.csv
cpp_serial,29,serial_cpp,128,400,upwind,RBGS,13565.337469,7000,0.000361222821364,validated_but_not_converged,comparison/results/split/cpp_serial_case_029.csv
cpp_serial,30,serial_cpp,128,400,upwind,RBSOR,3403.64210696,7000,9.30158858505e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_030.csv
cpp_serial,31,serial_cpp,128,400,central,RBGS,16494.9392991,8500,0.000399920557594,validated_but_not_converged,comparison/results/split/cpp_serial_case_031.csv
cpp_serial,32,serial_cpp,128,400,central,RBSOR,3939.25902995,8500,9.29992719373e-05,validated_but_not_converged,comparison/results/split/cpp_serial_case_032.csv
